49.37,24.95,0.7993,265,2,WARNING,24,43,95
49.99,25.9,0.8012,258,2,WARNING,24,42,95
50.59,25.84,0.7664,260,2,WARNING,24,44,95
51.19,26.1,0.8019,265,2,WARNING,26,42,95
51.86,26.38,0.8026,262,2,WARNING,26,41,95
52.49,28.15,0.8507,258,2,WARNING,30,37,95
53.09,28.39,0.7703,267,2,WARNING,30,41,95
53.71,28.36,0.8225,279,2,WARNING,34,38,95
54.31,28.73,0.7134,276,2,WARNING,31,43,95
54.91,30.47,0.7458,270,2,WARNING,34,39,95
55.51,29.93,0.7419,276,2,WARNING,34,40,95
56.12,30.37,0.82,280,2,WARNING,38,36,95
56.74,31.25,0.7742,289,2,WARNING,41,37,95
57.34,31.96,0.8837,296,2,WARNING,47,31,95
57.96,31.89,0.8012,267,2,WARNING,38,35,95
58.58,32.55,0.7557,284,2,WARNING,42,36,95
59.21,33.19,0.7888,282,2,WARNING,43,33,95
59.81,33.06,0.693,292,2,WARNING,42,38,95
60.42,33.4,0.8134,288,2,WARNING,46,32,95
61.03,34.33,0.7934,283,2,WARNING,46,32,95
61.69,34.95,0.8546,286,2,WARNING,50,29,95
62.3,35.53,0.7388,290,2,WARNING,48,33,95
62.9,35.74,0.8365,292,2,WARNING,52,29,95
63.52,36.91,0.7498,300,2,WARNING,53,30,95
64.12,36.12,0.8021,297,2,WARNING,53,29,95
64.81,37.39,0.6917,300,2,WARNING,53,32,95
65.42,37.99,0.7787,295,2,WARNING,55,28,95
66.03,38.9,0.8728,311,2,WARNING,63,24,95
66.63,38.9,0.7541,307,2,WARNING,59,27,95
67.23,39.52,0.7681,297,2,WARNING,59,26,95
67.88,40.08,0.7201,310,2,WARNING,61,27,95
68.49,40.48,0.8153,310,2,WARNING,64,23,95
69.09,41.05,0.7664,316,2,WARNING,65,24,95
69.69,41.18,0.7964,316,2,WARNING,67,23,95
70.31,42.05,0.8166,311,2,WARNING,68,21,95
70.96,42.52,0.77,314,2,WARNING,68,22,95
71.58,42.99,0.8381,321,2,WARNING,72,20,95
72.18,43.53,0.8179,320,2,WARNING,73,20,95
72.8,44.19,0.8483,322,2,WARNING,75,18,95
73.42,44.62,0.8247,327,2,WARNING,76,18,95
74.03,45.31,0.7442,331,2,WARNING,76,19,95
74.64,45.51,0.6962,325,2,WARNING,74,20,95
75.24,45.64,0.8114,322,2,WARNING,77,17,95
75.86,46.09,0.6814,331,2,WARNING,76,20,95
76.47,47.44,0.8901,329,2,WARNING,84,14,95
77.12,47.56,0.8213,332,2,WARNING,83,15,95
77.74,48.64,0.7282,330,2,WARNING,82,15,95
78.36,48.35,0.7561,346,2,WARNING,86,15,95
78.96,49.07,0.8905,343,2,WARNING,90,12,95
79.56,49.9,0.7115,338,2,WARNING,86,14,95
80.21,49.63,0.8226,341,2,WARNING,89,12,95
80.83,50.2,0.8264,346,2,WARNING,91,11,95
81.43,51.81,0.7796,348,2,WARNING,94,10,95
82.08,50.99,0.8515,348,2,WARNING,94,10,95
82.75,51.65,0.728,360,2,WARNING,94,11,95
83.38,52.3,0.8003,350,2,WARNING,96,9,95
83.99,51.98,0.8442,358,2,WARNING,98,9,95
84.59,53.88,0.748,359,2,WARNING,99,8,95
85.19,54.68,0.8302,387,3,CRITICAL,100,6,95
85.81,52.87,0.7594,375,3,CRITICAL,100,9,95
86.44,54.18,0.7775,356,2,WARNING,100,7,95
87.05,55.47,0.8404,383,3,CRITICAL,100,5,95
87.65,54.65,0.8575,377,3,CRITICAL,100,6,95
88.27,55.24,0.7375,379,3,CRITICAL,100,6,95
88.87,54.89,0.828,386,3,CRITICAL,100,6,95
89.52,55.75,0.719,385,3,CRITICAL,100,5,95
90.13,56.16,0.7984,367,3,CRITICAL,100,4,95
90.73,56.01,0.7369,389,3,CRITICAL,100,5,95
91.33,57.57,0.775,401,3,CRITICAL,100,3,95
91.93,57.62,0.7437,390,3,CRITICAL,100,3,95
92.58,58.27,0.7592,406,3,CRITICAL,100,2,95
93.18,58.58,0.7812,405,3,CRITICAL,100,1,95
93.8,58.27,0.8575,405,3,CRITICAL,100,2,95
94.41,59.4,0.8457,419,3,CRITICAL,100,0,95
95.02,60.1,0.7566,419,3,CRITICAL,100,0,95
95.63,59.55,0.8126,407,3,CRITICAL,100,0,95
96.23,60.6,0.8541,414,3,CRITICAL,100,0,95
96.83,59.63,0.7649,426,3,CRITICAL,100,0,95
97.44,61.3,0.8378,419,3,CRITICAL,100,-1,95
98.04,61.81,0.7856,440,3,CRITICAL,100,-2,95
98.66,62.26,0.8921,430,3,CRITICAL,100,-2,95
99.26,62.54,0.7752,447,3,CRITICAL,100,-3,95
99.86,62.75,0.807,432,3,CRITICAL,100,-3,95
100.48,62.91,0.8334,432,3,CRITICAL,100,-3,95
101.13,63.42,0.8488,439,3,CRITICAL,100,-4,95
101.75,63.22,0.8348,437,3,CRITICAL,100,-3,95
102.35,64.19,0.8529,457,3,CRITICAL,100,-4,95
102.95,65.54,0.7164,440,3,CRITICAL,100,-7,95
103.55,65.44,0.7435,452,3,CRITICAL,100,-7,95
104.21,65.97,0.7626,475,3,CRITICAL,100,-7,95
104.81,66.21,0.8742,461,3,CRITICAL,100,-7,95
105.41,66.18,0.7548,465,3,CRITICAL,100,-8,95
106.01,66.69,0.7703,461,3,CRITICAL,100,-8,95
106.62,67.54,0.7568,483,3,CRITICAL,100,-9,95
107.3,67.93,0.7424,460,3,CRITICAL,100,-10,95
107.9,67.98,0.8212,465,3,CRITICAL,100,-9,95
108.57,68.09,0.7968,490,3,CRITICAL,100,-10,95
109.17,68.34,0.8912,480,3,CRITICAL,100,-9,95
109.77,68.98,0.7384,498,3,CRITICAL,100,-12,95
110.38,69.77,0.8711,486,3,CRITICAL,100,-11,95
